"","term","term_count","doc_count"
"11242","影子",37,1
"6158","只是",38,1
"6864","應該",38,1
"9686","依然",38,1
"1229","一起",39,1
"5700","那種",39,1
"360","似乎",40,1
"6415","生活",40,1
"9075","眼前",40,1
"6530","而且",41,1
"7887","幾乎",41,1
"9783","行為",41,1
"9867","天空",41,1
"11098","變得",41,1
"7919","成為",42,1
"9891","力量",42,1
"2689","產生",43,1
"3066","下來",43,1
"10931","像是",43,1
"11539","這時",44,1
"6718","房間",45,1
"9431","來說",45,1
"2361","人生",46,1
"8452","一切",46,1
"9271","住持",46,1
"10985","開始",46,1
"6846","這些",47,1
"5242","那麼",48,1
"11631","不會",48,1
"289","然後",49,1
"4479","鶴川",49,1
"7208","大概",49,1
"9669","感覺",49,1
"10488","只有",49,1
"11383","可是",49,1
"1111","美的",50,1
"5898","肉體",51,1
"6327","他們",51,1
"4522","地方",52,1
"6588","那樣",53,1
"7547","變成",54,1
"2742","女子",55,1
"10228","聲音",56,1
"10332","所有",56,1
"7904","過去",57,1
"2719","完全",58,1
"3927","任何",59,1
"1439","看見",60,1
"6046","有為子",60,1
"6458","和尚",60,1
"7269","時間",62,1
"10698","仿佛",64,1
"228","看到",65,1
"3007","突然",66,1
"9654","眼睛",66,1
"5650","黑暗",68,1
"2510","一樣",71,1
"1514","似的",78,1
"10763","起來",79,1
"6015","存在",82,1
"10724","覺得",84,1
"2406","知道",86,1
"8962","母親",88,1
"7509","因為",91,1
"8594","感到",91,1
"7651","出來",93,1
"3563","父親",98,1
"8362","寺廟",103,1
"7661","世界",114,1
"3764","女人",125,1
"1002","東西",163,1
"8091","柏木",199,1
"1127","自己",202,1
"10321","老師",248,1
"10888","金閣",342,1
